Perenso AcctKey,Analysis Forest \ Territory,IMS #,Account Name,Street Line 1,Street Line 2,Suburb,Postcode,Analysis Forest \ State,Top 500,Phone,Banner,Brauer Rating,Call Frequency,Buying Group
"1,960",NSW1,2000040,Soul Pattinson Chemist - Pitt St Mall - Sydney,Sh 160 Pitt St Mall,,SYDNEY,2000,NSW,Top 500,02 9232 7464,SOUL PATTINSON,A Grade,4 Weeks,
"2,024",NSW1,2000068,CBD Phy - Sydney,,92 Pitt St,SYDNEY,2000,NSW,Top 500,02 9221 0091,Independent,A Grade,4 Weeks,
"5,649",NSW1,2000076,Priceline Phy -  413 George St,,413-421 George St,SYDNEY ,2000,NSW,Top 500,02 9262 2556,PRICELINE OP IN,A Grade,4 Weeks,
"6,968",NSW1,2000093,Priceline Phy - Town Hall,Shop 54 Ground Floor ,2 Park Street ,SYDNEY ,2000,NSW,Top 500,02 9264 4449,PRICELINE OP IN,A Grade,4 Weeks,
"2,107",NSW1,2007004,Chemistworks - Broadway,Sh G14 Broadway S/C,Bay St,BROADWAY,2007,NSW,Top 500,02 9212 4377,Independent,A Grade,4 Weeks,
"6,216",NSW1,2015001,Pharmacy Online - Alexandria,3,33 Maddox Street,ALEXANDRIA,2015,NSW,Top 500,02 9667 2355,OPTIMAL PLUS,A Grade,4 Weeks,BRAUER SILVER 10%
"2,145",NSW1,2021002,Blooms The Chemist - Maddo From Paddo,,322-324  Oxford St,PADDINGTON,2021,NSW,Top 500,02 9360 4566,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"2,051",NSW1,2022011,David Wilson Chemist,Sh 3-5 Eastgate S/C,Spring St,BONDI JUNCTION,2022,NSW,Top 500,02 9387 4883,Independent,A Grade,4 Weeks,
"2,221",NSW1,2022018,Mums Advice - Bondi Junction,"L1, Sh 1037-1038 Westfield S/C",500 Oxford St,BONDI JUNCTION,2022,NSW,Top 500,02 9387 1977,Independent,A Grade,4 Weeks,
"5,188",NSW1,2022024,Priceline Phy - Bondi Junction,,454-462 Oxford St,BONDI JUNCTION,2022,NSW,Top 500,02 9387 7663,PRICELINE OP IN,A Grade,4 Weeks,
"1,939",NSW1,2027002,Blooms The Chemist - Eastpoint,Sh 1 Eastpoint Food Fair,Cnr New South Head Rd & Ocean St,EDGECLIFFE,2027,NSW,Top 500,02 9328 1316,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"2,086",NSW1,2029005,Gaslight Phy,,484 Old South Head Rd,ROSE BAY,2029,NSW,Top 500,02 9371 9414,Independent,A Grade,4 Weeks,
"4,984",NSW1,2031001,Randwick Phy Amcal,Royal Randwick S/C,79 Belmore Rd,RANDWICK,2031,NSW,Top 500,02 9398 1999,AMCAL CHEMIST,A Grade,4 Weeks,
"1,868",NSW1,2034001,Blooms The Chemist - Coogee,,202-204 Coogee Bay Rd,COOGEE,2034,NSW,Top 500,02 9665 5158,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"2,227",NSW1,2035016,Walsh's Village Phy,Sh 6 Village Cnt,Cnr Malabar Rd & Meagher Ave,MAROUBRA SOUTH,2035,NSW,Top 500,02 9311 0088,Independent,A Grade,4 Weeks,
"2,222",NSW1,2036007,PharmaSave - Eastgardens,Sh 158-159 Westfield Eastgardens S/C,152 Bunnerong Rd,PAGEWOOD,2035,NSW,Top 500,02 9344 5559,PHARMASAVE,A Grade,4 Weeks,
"6,104",NSW1,2037008,Cincotta Chemist - Glebe,53-55 Glebe Point Road,,GLEBE,2037,NSW,Top 500,02 9660 6919,Independent,A Grade,4 Weeks,
"1,869",NSW1,2040003,Blooms The Chemist - Leichhardt,Sh 46-48 Market Plaza S/C,,LEICHHARDT,2040,NSW,Top 500,02 9560 9808,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"1,842",NSW1,2040010,Cincotta Chemist - Norton Plaza Leichhardt,Sh 23 Norton Pl,51 - 57 Norton St,LEICHHARDT,2040,NSW,Top 500,02 9572 6344,CINCOTTA,A Grade,4 Weeks,
"1,932",NSW1,2041001,Blooms The Chemist - Balmain,,273 Darling St,BALMAIN,2041,NSW,Top 500,02 9810 2942,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"2,170",NSW1,2046008,Cincotta Chemist - Five Dock,Sh 1A,125 Great North Rd,FIVE DOCK,2046,NSW,Top 500,02 9713 4729,CINCOTTA,A Grade,4 Weeks,
"1,850",NSW1,2160005,Cincotta Chemist - Merrylands,,185 Merrylands Rd,MERRYLANDS,2160,NSW,Top 500,02 8841 4500,CINCOTTA,A Grade,4 Weeks,
"2,032",NSW1,2164007,Chemistworks Wetherill Pk,Shop 72-76 Stockland Town Ctr,Polding St,WETHERILL PARK,2164,NSW,Top 500,02 9609 7239,Independent,A Grade,4 Weeks,
"1,784",NSW1,2194019,Cincotta Chemist - Campsie,,157-159 Beamish St,CAMPSIE,2194,NSW,Top 500,02 9789 9000,Independent,A Grade,4 Weeks,
"1,462",NSW1,2196001,Blooms The Chemist - Roselands,"F3 Gallery Level, Roselands S/C",Roselands Ave,ROSELANDS,2196,NSW,Top 500,02 9750 0022,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"1,594",NSW1,2200013,Blooms the Chemist - Bankstown Grand Market,Sh T205 & T206 Centro,1 North Tce,BANKSTOWN,2200,NSW,Top 500,02 9709 2831,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"1,843",NSW1,2204001,Marrickville Metro Amcal Chemist,Sh M5A Marrickville Metro S/C,34 Victoria Rd,MARRICKVILLE,2204,NSW,Top 500,02 9519 1155,AMCAL CHEMIST,A Grade,4 Weeks,
"1,942",NSW1,2204015,Savemore Discount Chemist ,,311 Illawarra Rd,MARRICKVILLE,2204,NSW,Top 500,02 2559 3117,Independent,A Grade,4 Weeks,
"1,825",NSW1,2216010,Rockdale Chemmart Phy ,Sh 34 Rockdale Plaza S/C,,ROCKDALE,2216,NSW,Top 500,02 9553 1800,CHEMMART MASTER,A Grade,4 Weeks,
"5,785",NSW1,2216011,Chemist Outlet - Rockdale,,507 Princess Hwy,ROCKDALE,2216,NSW,Top 500,02 9597 3431,CHEMIST OUTLET,A Grade,4 Weeks,
"1,688",NSW1,2217005,Eddies Phy,,211B Ramsgate Rd,RAMSGATE,2217,NSW,Top 500,02 9529 3367,Independent,A Grade,4 Weeks,
"1,815",NSW1,2220003,Pharmacy Depot Hurtsville,Sh 132 Westfield S/C,Crn Cross st & Rark Rd,HURSTVILLE,2220,NSW,Top 500,02 9579 4633,AMCAL CHEMIST,A Grade,4 Weeks,BRAUER SILVER 10%
"1,571",NSW1,2224003,Southgate Phy,Sh 50 Southgate S/C,Princes Hwy ,SYLVANIA,2224,NSW,Top 500,02 9522 9343,API HEALTHCARE,A Grade,4 Weeks,
"1,463",NSW1,2228009,Blooms The Chemist - Miranda,Sh 2089 Westfielf Miranda ,,MIRANDA,2228,NSW,Top 500,02 9524 7691,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"1,595",NSW1,2228011,Priceline Phy -  Miranda,Shop 1038-1039 Westfield S/C,The Kingsway,MIRANDA,2228,NSW,Top 500,02 9524 1134,PRICELINE OP IN,A Grade,4 Weeks,
"6,028",NSW1,2229012,Cincotta Chemist  - Carigbah,Sh 1,331 The Kingsway ,Caringbah,2229,NSW,Top 500,02 9525 0309,CINCOTTA,A Grade,4 Weeks,
"1,464",NSW1,2230001,Blooms The Chemist - Cronulla,,37 Cronulla St,CRONULLA,2230,NSW,Top 500,02 9523 6877,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"1,812",NSW1,2232002,Priceline Phy - Sutherland,,764 Old Princes Hwy,SUTHERLAND,2232,NSW,Top 500,02 9521 2220,PRICELINE OP IN,A Grade,4 Weeks,
"1,691",NSW1,2233004,Cincotta Chemist - Engadine,,1097 Old Princes Hwy,ENGADINE,2233,NSW,Top 500,02 9520 8838,CINCOTTA,A Grade,4 Weeks,
"1,550",NSW1,2234003,Priceline Phy Menai,Sh T04 Menai Market Place,Allison Cres,MENAI,2234,NSW,Top 500,02 9543 7033,PRICELINE OP IN,A Grade,4 Weeks,
"1,558",NSW1,2517001,Blooms The Chemist - Woonona,,399-401 Princes Hwy,WOONONA,2517,NSW,Top 500,02 4285 4500,BLOOMS THE CHEMIST,A C Grade,12 Weeks ,
"1,466",NSW1,2525002,Blooms The Chemist - Figtree,Sh 12-15 Westfield S/C,PO Box 5,FIGTREE,2525,NSW,Top 500,02 4229 5847,BLOOMS THE CHEMIST,A C Grade,12 Weeks ,
"5,429",NSW1,2541011,Good Price Phy - Nowra,Sh 8,28 Central Ave,NOWRA,2541,NSW,Top 500,02 4421 6333,GOOD PRICE PHY,A C Grade,12 Weeks ,
"5,770",NSW1,2541012,Chemist Outlet - Nowra,,5 Nowra Lane,NOWRA,2541,NSW,Top 500,02 4421 2652,CHEMIST OUTLET,A C Grade,12 Weeks ,
"6,237",NSW1,2550005,Direct Chemist Outlet - Bega,Sh MM01 Sapphire Marketplace,106 Auckland St,BEGA,2550,NSW,Top 500,02 6492 0500,DIRECT CHEMIST OUTLET,A C Grade,12 Weeks ,
"1,681",NSW1,2560022,David Wilson Chemist,,251-253 Queen St,CAMPBELLTOWN,2560,NSW,Top 500,02 4640 8000,Independent,A Grade,4 Weeks,
"1,552",NSW1,2567006,Mt Annan Phy Express,Sh 6 Mt Annan S/C,Main St,MT ANNAN,2567,NSW,Top 500,02 4647 4820,Independent,A Grade,4 Weeks,
"1,461",NSW1,2570002,Blooms The Chemist - Camden,,146 - 148 Argyle St,CAMDEN,2570,NSW,Top 500,02 4655 9370,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"5,666",NSW1,2575001,Blooms The Chemist - Mittagong,,6/130 Old Hume Hwy,MITTAGONG,2575,NSW,Top 500,02 4871 1818,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"1,536",NSW1,2576004,Amcal Phy  - Bowral  ,Sh 1 Sprignett's Arc,306 Bong Bong St,BOWRAL,2576,NSW,Top 500,02 4861 1875,AMCAL CHEMIST,A Grade,4 Weeks,
"6,376",NSW1,2576006,Priceline Phy - Bowral,Sh 15 Bowral S/C,310-312 Bowral S/C,BOWRAL,2576,NSW,Top 500,02 4861 5255 ,PRICELINE PHY,A Grade,4 Weeks,
"1,339",NSW1,2650003,Kennedys Cincotta Chemist ,,157-159 Baylis St,WAGGA WAGGA,2650,NSW,Top 500,02 6921 7029,CINCOTTA,A C Grade,12 Weeks ,
"1,403",NSW1,2720004,Tumut Phy,,69 Wynard St,TUMUT,2720,NSW,Top 500,02 6947 1179,Independent,A C Grade,12 Weeks ,
"2,280",NSW1,,Go Vita - Narellan,Sh 3 Narellan Town Cnt,330 Camden Valley Way,NARELLAN,2567,NSW,Top 500,02 4647 4823,GO VITA,A Grade,4 Weeks,
"2,289",NSW1,,Go Vita - Batemans Bay,,5 North St,BATEMANS BAY,2536,NSW,Top 500,02 4472 9737,GO VITA,A C Grade,12 Weeks ,
"5,424",NSW1,,Go Vita - Dapto,Sh G139 Dapto Mall,75 Princes Hwy,DAPTO,2530,NSW,Top 500,02 4261 1138,GO VITA,A C Grade,12 Weeks ,
"1,051",NSW2,2250004,Blooms The Chemist - Erina,Sh T74 Erina Fair S/C,,ERINA,2250,NSW,Top 500,02 4365 1155,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"1,363",NSW2,2250024,Mega Save Chemist - Erina,Sh 343 - 344 Erina Fair S/C,Terrigal Dr,ERINA,2250,NSW,Top 500,02 4365 4611,MEGASAVE CHEMIST,A Grade,4 Weeks,
"1,245",NSW2,2250032,Bowens Phy ,Sh 2 Wyoming S/C,Kinarra Ave ,WYOMING,2250,NSW,Top 500,02 4328 4081,CHEMIST OUTLET,A Grade,4 Weeks,BRAUER GOLD 14%
"1,027",NSW2,2251002,Priceline Phy Kincumber,Sh 4 Kincumber Village S/C,Cnr Avoca Dr & Bungoona Dr,KINCUMBER,2251,NSW,Top 501,02 4369 6900,PRICELINE PHY,A Grade,4 Weeks,
"6,573",NSW2,2257002,Chemist Outlet Umina Beach,,283 West Street,UMINA,2257,NSW,Top 500,02 4341 3066 ,Chemist Outlet,A Grade,5 Weeks,
"1,199",NSW2,2259011,Amcal Tuggerah Pharmacy,Sh 1149-1151 Westfield S/C,Cobbs Rd,TUGGERAH,2259,NSW,Top 500,02 4353 5211,AMCAL CHEMIST,A Grade,4 Weeks,BRAUER GOLD 14%
"6,556",NSW2,2259021,Choice Phcy Lake Munmorah,Sh M02,275 Pacific Hwy,LAKE MUNMORAH,2259,NSW,Top 500,02 4358 3519,CHOICE PHARMACIES ,A Grade,4 Weeks,
"1,273",NSW2,2260004,Medi Advice Phy,,54 The Esplande,TERRIGAL,2260,NSW,Top 500,02 4384 1173,Independent,A Grade,4 Weeks,
"1,219",NSW2,2261003,Terry White Chemist - Bay Village,Sh 11-15 Bateu Bay Square,The Entrance Road,BATEAU BAY,2261,NSW,Top 500,02 4332 9439,TERRY WHITE CHEMIST,A Grade,4 Weeks,
"5,688",NSW2,2262005,Priceline Pharmacy Northlakes,Shop T18 Northlakes S/C,21 Pacific Highway,SAN REMO,2262,NSW,Top 500,02 4390 7188,PRICELINE OP IN,A C Grade,12 Weeks ,
"1,257",NSW2,2285005,Chemist Works Phy - Glendale,Sh 22 Stockland S/C,Lakes Rd,GLENDALE,2285,NSW,Top 500,02 4956 5644,Independent,A Grade,4 Weeks,
"1,025",NSW2,2289003,Scott Dibben Amcal Chemist,Sh 160 Garden City S/C,,KOTARA,2289,NSW,Top 500,02 4957 5287,AMCAL CHEMIST,A Grade,4 Weeks,BRAUER GOLD 14%
"6,133",NSW2,2290012,Mega Save Chemist - Charlestown,Sh 1028 Level 1,Charlestown Square Pearson St,CHARLESTOWN,2290,NSW,Top 500,02 4942 5669,MEGASAVE CHEMIST,A Grade,4 Weeks,
"6,187",NSW2,2302007,Mega Save Chemist - Newcastle,Sp G-09 Market East S/C,23 Steel St,NEWCASTLE,2302,NSW,Top 500,02 4926 3300,MEGASAVE CHEMIST,A Grade,4 Weeks,
"1,430",NSW2,2317006,Salamander Cnt Amcal Chemist,Sh 12 Salamander S/C,,SALAMANDER BAY,2317,NSW,Top 500,02 4982 7644,AMCAL CHEMIST,A Grade,4 Weeks,BRAUER GOLD 14%
"1,954",NSW2,2323006,Blooms The Chemist - Maitland,Sh 60 Stockland Greenhills S/C,,EAST MAITLAND,2323,NSW,Top 500,02 4933 5533,BLOOMS THE CHEMIST,A C Grade,12 Weeks ,
"1,877",NSW2,2330002,Mall Chemmart Phy,Sh 12 Gowrie St Mall,Gowrie St,SINGLETON,2330,NSW,Top 500,02 6572 2566,CHEMMART MASTER,A Grade,4 Weeks,
"2,161",NSW2,2333005,Priceline Phy - Muswellbrook,Muswellbrook Market Pl,22 Sowerby St,MUSWELLBROOK,2333,NSW,Top 500,02 6541 4849,PRICELINE PHY,A Grade,4 Weeks,BRAUER GOLD 14%
"5,354",NSW2,2333006,Phy Select - Muswellbrook Fair Phy,Sh 4 Muswellbrook Fair S/C,Rutherford Rd ,MUSWELLBROOK,2333,NSW,Top 500,02 6543 4266,PHY SELECT,A Grade,4 Weeks,BRAUER GOLD 14%
"1,839",NSW2,2340007,Howles Amcal Chemist,Sh 35 Tamworth Shoppingworld,Cnr Crown St & Oxley Hwy,TAMWORTH,2340,NSW,Top 500,02 6765 8243,AMCAL CHEMIST,A C Grade,12 Weeks ,
"4,949",NSW2,2340017,Good Price Phy Warehouse - Tamworth,Sh 6 Tamworth Home Space,Cnr Greg Norman Dr & New England Hwy,TAMWORTH,2340,NSW,Top 500,02 6762 3211,GOOD PRICE PHY,A C Grade,12 Weeks ,
"5,171",NSW2,2350010,Good Price Phy Warehouse - Armidale,Sh 33 Armidale Plaza S/C,Cnr Beardy & Dangar St,ARMIDALE ,2350,NSW,Top 500,02 6772 3331,GOOD PRICE PHY,A C Grade,12 Weeks ,
"1,976",NSW2,2360007,Inverell  Phy,,132-134 Byron St,INVERELL,2360,NSW,Top 500,02 6722 3146,Independent,A C Grade,12 Weeks ,
"1,523",NSW2,2428003,Priceline Phy - Forster,Sh B1 Forster Village S/C,Breese Rd,FORSTER,2428,NSW,Top 500,02 6555 5589,PRICELINE PHY,A C Grade,12 Weeks ,
"1,576",NSW2,2428005,Great Lakes Phy,Sh 1-5 Tuncurry Plaza S/C,29 Manning St,TUNCURRY,2428,NSW,Top 500,02 6555 4000,Independent,A C Grade,12 Weeks ,BRAUER GOLD 14%
"1,592",NSW2,2430010,Taree Chemmart Pharmacy,Sh 9 Taree City S/C,60 Manning St,TAREE,2430,NSW,Top 500,02 6551 7766,CHEMMART MASTER,A C Grade,12 Weeks ,
"1,518",NSW2,2431003,Peter Need's Chemmart Phy,,11 Memorial Ave,SOUTH WEST ROCKS,2431,NSW,Top 500,02 6566 6700,CHEMMART MASTER,A C Grade,12 Weeks ,
"1,421",NSW2,2440008,Amcal Max  Kempsey ,Sh 5-7 Front Plaza,,KEMPSEY,2440,NSW,Top 500,02 6562 4266,AMCAL CHEMIST,A C Grade,12 Weeks ,
"1,549",NSW2,2440011,Pharmacy Alliance Pharmacy Kempsey West,32 Elbow State,,WEST KEMPSEY,2440,NSW,Top 500,02 6562 7777,Independent,A C Grade,12 Weeks ,BRAUER GOLD 14%
"6,529",NSW2,2440012,Pharmacy Alliance Pharmacy Kempsey,"Shop 4, ",15-33 Belgrave St, KEMPSEY,2440,NSW,Top 500,02 65631111,Independent,A C Grade,12 Weeks ,BRAUER GOLD 14%
"5,217",NSW2,2444022,Your Discount Chemist Port Macquarie ,119 Horton St ,,PORT MACQUARIE,2444,NSW,Top 500,02 6583 2134,Independent,A C Grade,12 Weeks ,
"1,593",NSW2,2450005,Terry White Chemist - Coffs Harbour,Sh 51 Park Beach Plaza,Cnr Park Beach Rd & Pacific Hwy,COFFS HARBOUR,2450,NSW,Top 500,02 6652 4188,TERRY WHITE CHEMIST,A C Grade,12 Weeks ,
"1,787",NSW2,2450006,Palms Phy,Sh 3 Palms S/C,,COFFS HARBOUR,2450,NSW,Top 500,02 6652 3950,STAR PHY CHOICE,A C Grade,12 Weeks ,
"1,610",NSW2,2450007,Good Price Phcy WH Coffs Hbr,Sh 6 The Bailey Centre,150 Pacific Highway,COFFS HARBOUR,2450,NSW,Top 500,02 6651 1800,GOOD PRICE PHY,A C Grade,12 Weeks ,
"1,465",NSW2,2452002,Blooms The Chemist - Toormina,Sh n -52 Centro Tommina S/C,,TOORMINA,2452,NSW,Top 500,02 6658 7926,BLOOMS THE CHEMIST,A C Grade,12 Weeks ,
"1,561",NSW2,2454001,Bellingen Amcal  Phy,,70 Hyde St,BELLINGEN,2454,NSW,Top 500,02 6655 1124,AMCAL CHEMIST,A C Grade,12 Weeks ,
"1,591",NSW2,2455002,The Urunga Amcal Phy,,10 Bowra Street,URUNGA,2455,NSW,Top 500,02 6655 6104,AMCAL CHEMIST,A C Grade,12 Weeks ,
"1,437",NSW2,2456002,Woolgoolga Amcal Chemist,Sh 5-6,Cnr Beach & Nighingale St,WOOLGOOLGA,2456,NSW,Top 500,02 6654 1893,AMCAL CHEMIST,A C Grade,12 Weeks ,
"5,611",NSW3,2046014,Cincotta Chemist - Burwood,3,213-235 Parramatta Rd,BURWOOD,2134,NSW,Top 500,02 9745 6375,CINCOTTA,A Grade,4 Weeks,
"1,847",NSW3,2063001,Blooms The Chemist - Northbridge,Sh 13 Northbridge Plaza S/C,79 Sailors Bay Rd,NORTHBRIDGE,2063,NSW,Top 500,02 9958 8646,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"1,836",NSW3,2065003,Crows Nest D&N Chemist,,99 Willoughby Rd,CROWS NEST,2065,NSW,Top 500,02 9439 1504,Independent,A Grade,4 Weeks,
"2,196",NSW3,2067002,Pharmacy 4 Less Roy Young Chemist,Sh 438-441 ,Level 4 Westfield S/C,CHATSWOOD,2067,NSW,Top 500,02 9412 3304,PHY 4 LESS,A Grade,4 Weeks,
"4,942",NSW3,2067023,Chemist Warehouse - Chatswood,Sh 1,387 Victoria Ave,CHATSWOOD,2067,NSW,Top 500,02 9412 2400,CHEM W/HOUSE,A Grade,4 Weeks,
"1,169",NSW3,2077012,Pharmacy Depot - Hornsby,Sh 1001-1003 Westfield S/C,,HORNSBY,2077,NSW,Top 500,02 9987 4241,Independent,A Grade,4 Weeks,
"5,260",NSW3,2077016,SuperPharmacy - Hornsby,,21 Florence St,HORNSBY,2077,NSW,Top 500,02 9987 2233,Independent,A Grade,4 Weeks,
"5,624",NSW3,2085003,Cincotta Chemist - Belrose,Sh G05 Homemakers Supa Centre,4 -6 Niangala Close,BELROSE,2084,NSW,Top 500,02 9986 3331,CINCOTTA,A Grade,4 Weeks,
"1,294",NSW3,2086002,Forestway Phy,Sh 24 Forestway S/C,Cnr Waringah Rd & Forest Way,FRENCHS FOREST,2086,NSW,Top 500,02 9451 4614,Independent,A Grade,4 Weeks,
"2,042",NSW3,2090002,Cremorne Town Cnt Phy,Sh 15 Metropole S/C,297 Military Rd,CREMORNE,2090,NSW,Top 500,02 9908 1155,Independent,A Grade,4 Weeks,
"6,127",NSW3,2093009,Pharmacy Select - Balgowlah,Sh 73 Stockland Balgowlah Village,197-215 Condamine Street,BALGOWLAH,2093,NSW,Top 500,02 9949 3266,PHY SELECT,A Grade,4 Weeks,
"1,308",NSW3,2097003,Wellbeing Phy Collaroy,Sh 8,63 Veterans Pde,COLLAROY,2097,NSW,Top 500,02 9982 1091,Independent,A Grade,4 Weeks,
"5,986",NSW3,2099018,Priceline Phy - Dee Why,Shop 5 & 6 Dee Why Grand Sh/Centre,834  Pittwater Rd,DEE WHY,2099,NSW,Top 500,02 9981 3555,PRICELINE PHY,A Grade,4 Weeks,
"5,065",NSW3,2100005,Priceline Phy - Warringah Mall,Sh 422 Warringah Mall S/C,Pittwater Rd,BROOKVALE,2100,NSW,Top 500,02 9905 6981,PRICELINE PHY,A Grade,4 Weeks,
"1,101",NSW3,2100010,Warringah Mall Phy ,Sh 1239  Warringah Mall S/C,,BROOKVALE,2100,NSW,Top 500,02 9939 5525,Independent,A Grade,4 Weeks,
"5,301",NSW3,2101003,Amcal Chemist - Narrabeen,,67-69 Waterloo St,NARRABEEN,2103,NSW,Top 500,02 9913 7171,AMCAL CHEMIST,A Grade,4 Weeks,BRAUER GOLD 14%
