Perenso AcctKey,Analysis Forest \ Territory,IMS #,Account Name,Street Line 1,Street Line 2,Suburb,Postcode,Analysis Forest \ State,Top 500,Phone,Banner,Brauer Rating,Call Frequency,Buying Group
"5,546",NSW3,2103006,Cincotta Chemist - Mona Vale,11 Waratah St,,MONA VALE,2103,NSW,Top 500,02 9999 4197,CINCOTTA,A Grade,4 Weeks,
"1,318",NSW3,2103008,IcarePharmacy - Mona Vale,Sh 1A,1785 Pittwater Rd,MONA VALE,2103,NSW,Top 500,02 9999 3598,Independent,A Grade,4 Weeks,BRAUER SILVER 10%
"1,322",NSW3,2107002,You Save Chemist - Avalon Beach Herforts,,60 Old Barrenjoey Rd,AVALON BEACH,2107,NSW,Top 500,02 9973 1277,YOU SAVE PHY,A Grade,4 Weeks,
"1,076",NSW3,2118001,Priceline Phy Carlingford Court ,Sh 48-49 Carlingford Crt S/C,Cnr Pennant Hills & Carlingford Rd,EPPING,2121,NSW,Top 500,02 9871 7533,PRICELINE PHY,A Grade,4 Weeks,
"1,358",NSW3,2126001,Bests Phy - Cherrybrook,Cherrybrook S/C,Shepherds Dr,CHERRYBROOK,2126,NSW,Top 500,02 9875 1999,Independent,A Grade,4 Weeks,BRAUER GOLD 14%
"1,379",NSW3,2128001,Pharmasave - Silverwater ,,3 Coal St,SILVERWATER,2128,NSW,Top 500,02 9648 8888,PHARMASAVE,A Grade,4 Weeks,BRAUER GOLD 14%
"1,381",NSW3,2146006,Pharmacy Nutrition Warehouse - Toongabbie,,56 Aurelia St,TOONGABBIE,2146,NSW,Top 500,02 9688 1255,Independent,A Grade,4 Weeks,
"4,964",NSW3,2148036,Chester & Jakes Phy - Blacktown,Sh 2  ,112 Main St,BLACKTOWN,2148,NSW,Top 500,02 9831 7960,Independent,A Grade,4 Weeks,
"1,297",NSW3,2148038,Cincotta Chemist - Blacktown,,67 Main St,BLACKTOWN,2148,NSW,Top 500,02 9622 1937,CINCOTTA,A Grade,4 Weeks,
"1,362",NSW3,2150009,PharmaSave Parramatta,"L1, Sh 5020-21 Westfield S/C",Church St,PARRAMATTA,2150,NSW,Top 500,02 9633 2238,PHARMASAVE,A Grade,4 Weeks,
"1,033",NSW3,2153001,Terry White Chemist - Winston Hills,Sh 20 Winston Hills Mall,Caroline Chisholm Dr,WINSTON HILLS,2153,NSW,Top 500,02 9624 7816,TERRY WHITE CHEMIST,A Grade,4 Weeks,
"1,151",NSW3,2153014,Chemist Outlet - Baulkham Hills,,323  Windsor Rd,BAULKHAM HILLS,2153,NSW,Top 500,02 9639 1500,CHEMIST OUTLET,A Grade,4 Weeks,
"1,375",NSW3,2154016,Good Price Phy Warehouse - Castle Hill,"Level 1, Shop 9,  HomeHub Castle Hill",18 Victoria Ave,CASTLE HILL,2154,NSW,Top 500,02 9899 5655 ,GOOD PRICE PHY,A Grade,4 Weeks,
"5,444",NSW3,2155005,Pharmasave Rouse Hill,Sh 34 Rouse Hill Town Cnt,10-14 Market Lane,ROUSE HILL,2155,NSW,Top 500,02 8883 0988,PHARMASAVE,A Grade,4 Weeks,
"5,615",NSW3,2155006,Amcal Plus Rouse Hill,GR 072 Rouse Hill Town Centre,10-14 Market Lane,ROUSE HILL,2155,NSW,Top 500,02 8882 9033,AMCAL MAX,A Grade,4 Weeks,BRAUER GOLD 14%
"1,280",NSW3,2158002,Friendly Phy - Dural,Sh 12 The Village Green S/C,22 Kenthurst Rd,DURAL,2158,NSW,Top 500,02 9651 1156,FRIENDLIES CHEMIST,A Grade,4 Weeks,
"1,053",NSW3,2580001,Blooms The Chemist - Goulburn,,220 Auburn St,GOULBURN,2580,NSW,Top 500,02 4821 2186,BLOOMS THE CHEMIST,A C Grade,12 Weeks ,BRAUER GOLD 14%
"1,581",NSW3,2601002,City Market Phy,Shop EG01-EG02 The Canberra Centre,Bunda St,CANBERRA CITY,2600,NSW,Top 500,02 6249 8074,Independent,A C Grade,12 Weeks ,
"5,530",NSW3,2609004,Chemist Outlet Dickson,Shop 1B/42 Dickson Place,,DICKSON,2602,NSW,Top 500,02 6262 6169,CHEMIST OUTLET,A C Grade,4 Weeks,
"1,418",NSW3,2611004,Cooleman Crt Australian Phy,Sh 5015 Cooleman Crt S/C,Brierly St,WESTON,2611,NSW,Top 500,02 6288 1867,Independent,A C Grade,4 Weeks,BRAUER GOLD 14%
"1,763",NSW3,2614003,Macquarie Discount Phy,Sh 2-3 Maquarie S/C,Lachlan St,MACQUARIE,2614,NSW,Top 500,02 6251 1063,Independent,A C Grade,4 Weeks,
"6,487",NSW3,2617011,Belconnen Discount Phy,Shop 1 1-5 Chandler Street,,BELCONNEN,2617,NSW,Top 500,02 6256 8900,Independent,A C Grade,12 Weeks ,
"1,055",NSW3,2750012,Blooms The Chemist - Penrith Nepean,Sh 39 Centro Nepean,,PENRITH,2750,NSW,Top 500,02 4732 1328,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"1,054",NSW3,2750017,Blooms The Chemist - Penrith Plaza Phy,"Sh 110, Westfield Penrith   Plaza",,PENRITH,2750,NSW,Top 500,02 4721 8117,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"1,376",NSW3,2750035,Good Price Pharmacy Warehouse - Penrith,,473 High St,PENRITH,2750,NSW,Top 500,02 4721 2555,GOOD PRICE PHY,A Grade,4 Weeks,
"1,056",NSW3,2753004,Blooms The Chemist - Richmond,,45 Richmond Market Pl,RICHMOND,2753,NSW,Top 500,02 4578 1557,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"5,118",NSW3,2753006,Oze Phy - Richmond,,263 Windsor Rd,RICHMOND,2753,NSW,Top 500,02 4578 2101,Independent,A Grade,4 Weeks,BRAUER GOLD 14%
"5,261",NSW3,2756013,Blooms The Chemist - Windsor Riverview,Sh 16-17 Riverview S/C,227 George St,WINDSOR,2756,NSW,Top 500,02 4577 3265,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"5,679",NSW3,2756017,Good Price Phy Warehouse - McGraths Hill,Sh 4A,6 Industry Rd,MCGRATHS HILL,2757,NSW,Top 500,02 4577 7200,GOOD PRICE PHY,A Grade,4 Weeks,
"6,786",NSW3,2756017,Good Price Phy McGrath Hills,10 Industry Road,0,MCGRATH HILLS,2756,NSW,Top 500,02 4577 7200 ,GOOD PRICE PHY,A Grade,4 Weeks,
"1,189",NSW3,2760002,Soul Pattinson Chemist - Astley - St Marys,Sh 3-4 Astley S/C ,Cnr Western Hwy & Mamre Rd,ST MARYS,2760,NSW,Top 500,02 9673 2212,SOUL PATTINSON,A Grade,4 Weeks,
"1,021",NSW3,2761001,Terry White Chemist - Plumpton,Sh T20 Plumpton Market Place,Jersey Rd,PLUMPTON,2761,NSW,Top 500,02 9832 1308,TERRY WHITE CHEMIST,A Grade,4 Weeks,
"1,087",NSW3,2763002,Quakers Hill Pharmacy ,,Shop1/8 Douglas Rd,QUAKERS HILL,2763,NSW,Top 500,02 9837 1677,HARRISONS PHY,A Grade,4 Weeks,
"1,221",NSW3,2768002,Terry White Chemist - Stanhope Gardens,Sh T9 Stanhope Village,Cnr Stanhope Parkway & Sentry Drive,STANHOPE GARDENS,2768,NSW,Top 500,02 8883 1988,TERRY WHITE CHEMIST,A Grade,4 Weeks,
"1,241",NSW3,2774004,Blaxland D&N Phy,138 Great Western Hwy,,BLAXLAND,2774,NSW,Top 500,02 4739 1611,Independent,A Grade,4 Weeks,
"1,059",NSW3,2777006,Blooms The Chemist - Springwood,,161 Macquarie Rd,SPRINGWOOD,2777,NSW,Top 500,02 4751 2963,BLOOMS THE CHEMIST,A Grade,4 Weeks,BRAUER GOLD 14%
"1,910",NSW3,2790003,Blooms The Chemist - Lithgow,Sh 44 - 46 Lithgow Valley Plaza,,LITHGOW,2790,NSW,Top 500,02 6352 2141,BLOOMS THE CHEMIST,A C Grade,12 Weeks ,
"1,874",NSW3,2800009,Blooms The Chemist - Orange,Shop 19 Orange Central Shopping Centre,Summer St,ORANGE,2800,NSW,Top 500,02 6362 1267,BLOOMS THE CHEMIST,A C Grade,12 Weeks ,BRAUER GOLD 14%
"5,063",NSW3,2830015,Chemist Outlet - Dubbo,Shop 2-4 Endeavour Court,137 Macquarie St,DUBBO,2830,NSW,Top 500,02 6882 1833,CHEMIST OUTLET,A C Grade,12 Weeks ,BRAUER GOLD 14%
"1,707",NSW3,2904003,Gowrie Discount Phy,Sh 3 Gowrie Centre ,1 Jeffries St,GOWRIE,2904,NSW,Top 500,02 6291 0011,Independent,A C Grade,8 Weeks,
"1,488",NSW3,2912001,Priceline Pharmacy Gungahline Marketplace,Shop H10/11 Gungahlin Marketplace,1/1 Hibberson St,GUNGAHLIN,2912,NSW,Top 500,02 6253 9292,PRICELINE PHY,A C Grade,12 Weeks ,BRAUER GOLD 14%
"4,845",NSW3,2912002,Pharmacy Select Gungahlin,Sh 30 The G S/C,Hibberson St,GUNGAHLIN,2912,NSW,Top 500,02 6255 4833,PHY SELECT,A C Grade,12 Weeks ,
"2,268",NSW3,,Go Vita - Katoomba,Sh 3 Katoomba Fair S/C,Parke St,KATOOMBA,2780,NSW,Top 500,02 4782 4667,GO VITA,A Grade,4 Weeks,
"2,296",NSW3,,Mr Vitamins - Chatswood ,,324 Victoria Ave,CHATSWOOD,2067,NSW,Top 500,02 9415 2866,Independent,A Grade,4 Weeks,
"2,308",NSW3,,Rawesome Health Food,"Sh 1036, L1 Westfield S/C",Florence St,HORNSBY,2077,NSW,Top 500,02 9477 5142,HEALTHY LIFE,A Grade,4 Weeks,BRAUER GOLD 14%
"2,310",NSW3,, Go Vita - Castle Hill Rainbow Organics,"L2, Sh 223 Castle Towers S/C",Castle St,CASTLE HILL,2154,NSW,Top 500,02 9634 2845,GO VITA,A Grade,4 Weeks,BRAUER GOLD 14%
"2,328",NSW3,,Go Vita - Woden,Sh 88 Woden Plaza S/C,,WODEN,2606,NSW,Top 500,02 6281 5274,GO VITA,A C Grade,4 Weeks,BRAUER GOLD 14%
"2,350",NSW3,,Warriewood Health Food,Sh 5 Warriewood S/C,Jacksons Rd,WARRIEWOOD,2102,NSW,Top 500,02 9913 1505,Independent,A Grade,4 Weeks,
"6,939",NSW3,,Go Vita - Top Ryde ,Sh LG2-1024 Top Ryde SC Cnr,Blaxland Rd & Devlin St,RYDE,2112,NSW,Top 500,02 9807-4051,GO VITA,A Grade,4 Weeks,
"2,842",QLD1,4000001,Terry White Chemist Myer Centre - Brisbane,Sh 103 Level E Myer Cnt,91 Queen St,BRISBANE,4000,QLD,Top 500,07 3221 3416,TERRY WHITE CHEMIST,A Grade,4 Weeks,
"2,541",QLD1,4017005,Good Price Phy - Deagon,Deagon Plaza S/C,79 Braun St,DEAGON,4017,QLD,Top 500,07 3269 2080,GOOD PRICE PHY,A Grade,4 Weeks,
"5,638",QLD1,4022002,Good Price Phy - Rothwell,Unit 2,439-443 Anzac Ave,ROTHWELL,4022,QLD,Top 500,07 3203 2088,GOOD PRICE PHY,A Grade,4 Weeks,
"3,158",QLD1,4032008,Healthy World Phy,Sh 127-130 Westfield S/C,Cnr Gympie & Hamilton Rd,CHERMSIDE,4032,QLD,Top 500,07 3350 4437,Independent,A Grade,4 Weeks,
"3,155",QLD1,4032010,Direct Chemist Outlet - Chermside,Sh 6A Chermside Markets,Cnr Webster & Gympie Rd,CHERMSIDE,4032,QLD,Top 500,07 3359 2000,DIRECT CHEMIST OUTLET,A Grade,4 Weeks,
"2,670",QLD1,4034004,Discount Drug Store - Aspley,Sh 64 Aspley Hypermart S/C,59 Albany Creek Rd,ASPLEY,4034,QLD,Top 500,07 3263 6399,DISCOUNT DRUG STORE,A Grade,4 Weeks,
"3,088",QLD1,4034005,Aspley D&N AMCAL Phy,,1368 Gympie Rd,ASPLEY,4034,QLD,Top 500,07 3263 1133,AMCAL CHEMIST,A Grade,4 Weeks,
"3,253",QLD1,4053003,Terry White Chemist - Brookside,Sh 86 Brookside S/C,159 Osbourne Rd,MITCHELTON,4053,QLD,Top 500,07 3855 2633,TERRY WHITE CHEMIST,A Grade,4 Weeks,
"5,254",QLD1,4053024,Good Price Phy - Stafford,,219 Stafford Rd,STAFFORD,4053,QLD,Top 500,07 3357 4810,GOOD PRICE PHY,A Grade,4 Weeks,
"2,669",QLD1,4054001,Arana Hills Star Discount Chemist ,Sh 3 K Mart Plaza,Cnr Patrick & Dawson Pde,ARANA HILLS,4054,QLD,Top 500,07 3351 3852,STAR PHY DISCOUNT CHEMIST,A Grade,4 Weeks,
"2,607",QLD1,4054005,Keperra Chemmart D&N Phy,,1028 Samford Rd,KEPERRA,4054,QLD,Top 500,07 3351 7600,CHEMMART MASTER,A Grade,4 Weeks,
"2,737",QLD1,4078001,Malouf Group Phy - Forest Lake,Forest Lake Vlge S/C,Forest Lake Blvd,FOREST LAKE,4078,QLD,Top 500,07 3372 9500,MALOUF GROUP PHY,A Grade,4 Weeks,
"3,355",QLD1,4101006,Discount Drug Store - West End,Sh 10 The Markets West End,69-79 Boundary St,WEST END,4101,QLD,Top 500,07 3844 0011,DISCOUNT DRUG STORE,A Grade,4 Weeks,
"3,107",QLD1,4304004,Friendly Care Chemist - Booval,,42 South Station Rd,BOOVAL,4304,QLD,Top 500,07 3816 5199,Independent,A Grade,4 Weeks,BRAUER GOLD 14%
"5,549",QLD1,4304005,Good Price Phy - Booval,Booval Homemaker Cnt,214 Brisbane Rd,BOOVAL,4304,QLD,Top 500,3282 1882,GOOD PRICE PHY,A Grade,4 Weeks,
"2,637",QLD1,4305004,Brassall Chemist,,Hunter St,BRASSALL,4305,QLD,Top 500,07 3201 6570,Independent,A Grade,4 Weeks,BRAUER GOLD 14%
"2,766",QLD1,4503002,Kallangur D & N  Amcal Phy,,1387 Anzac Ave,KALLANGUR,4503,QLD,Top 500,07 3204 5155,AMCAL CHEMIST,A Grade,4 Weeks,
"2,844",QLD1,4505001,Terry White Chemist - Burpengary,Sh 16 Burpengary Plaza,Cnr Station Rd & Progress St,BURPENGARY,4505,QLD,Top 500,07 3888 1980,TERRY WHITE CHEMIST,A Grade,4 Weeks,
"3,258",QLD1,4506003,The Centre Phy,Sh 89 Morayfield S/C,Morayfield Rd,MORAYFIELD,4506,QLD,Top 500,07 5499 4577,JADIN CHEMIST,A Grade,4 Weeks,BRAUER GOLD 14%
"2,638",QLD1,4507006,Priceline Phy - Bribie Island,Sh 9 Bribie Island S/C,Goodwin Dr,BRIBIE ISLAND,4507,QLD,Top 500,07 3410 1005,PRICELINE PHY,A Grade,4 Weeks,
"6,097",QLD1,4509004,United Discount Chemist - North Lakes,Shop 2a Hilltop Village Shopping Centre,71 Astley Parade,MANGO HILL,4509,QLD,Top 500,07/34918322,Independent,A Grade,4 Weeks,
"6,997",QLD1,4509005,Good Price Phcy Mango Hill,BD4 Mango Hill Marketplace,,MANGO HILL,4509,QLD,Top 500,07 34918963,GOOD PRICE PHY,A Grade,4 Weeks,
"2,773",QLD1,4519002,Amcal Chemist - Beerwah,Sh 8 Beerwah Market Pl,Peachester Rd,BEERWAH,4519,QLD,Top 500,07 5494 0333,AMCAL CHEMIST,A Grade,4 Weeks,
"3,306",QLD1,4520002,Samford Chemmart Phy,Sh 3,3/4 Mary Ring Dr,SAMFORD,4520,QLD,Top 500,07 3289 1559,CHEMMART MASTER,A Grade,4 Weeks,
"2,459",QLD1,4551007,Terry White Chemist -   Caloundra,Sh 16 Stockland S/C,47 Bowman Rd,CALOUNDRA,4551,QLD,Top 500,07 5491 2402,TERRY WHITE CHEMIST,A Grade,4 Weeks,
"2,578",QLD1,4551020,Currimundi Markets Chemmart ,Crn Nicklin Way  & Bellara Drive,,CURRIMUNDI,4551,QLD,Top 500,07 5493 7560,CHEMMART MASTER,A Grade,4 Weeks,
"5,178",QLD1,4551023,Pharmacy Direct- Caloundra,,Cnr Caloundra Rd & Baldwin St,CALOUNDRA,4551,QLD,Top 500,07 5492 7163,PHY DIRECT,A Grade,4 Weeks,
"2,469",QLD1,4552002,Maleny Chemmart Pharmacy,Sh 1,25 Maple St,MALENY,4552,QLD,Top 500,07 5494 2332,CHEMMART MASTER,A Grade,4 Weeks,
"2,615",QLD1,4556006,Buderim Phy,Sh 13 Buderim Marketplace ,67 Burnett St,BUDERIM,4556,QLD,Top 500,07 5445 1230,Independent,A Grade,4 Weeks,
"2,598",QLD1,4558005,Maroochy   D&N Phy,,Cnr Second Ave & Aerodrome Rd,MAROOCHYDORE,4558,QLD,Top 500,07 5443 6070,Independent,A Grade,4 Weeks,
"2,825",QLD1,4558006,Terry White Chemist - Maroochydore Sunshine,Sh 120 Sunshine Plaza S/C,Plaza Rd,MAROOCHYDORE,4558,QLD,Top 500,07 5443 4466,TERRY WHITE CHEMIST,A Grade,4 Weeks,
"2,599",QLD1,4560001,Nambour Plaza Chemmart Phy,Nambour Plaza S/C,Ann St,NAMBOUR,4560,QLD,Top 500,07 5476 0988,CHEMMART MASTER,A Grade,4 Weeks,
"6,953",QLD1,4560017,Discount Chemist Nambour,shop 6/9,Mill St,NAMBOUR,4560,QLD,Top 500,07 5313 7806 ,CHEMSAVE PHY,A Grade,4 Weeks,
"2,463",QLD1,4563003,Cooroy Amcal Chemist,,3 Emerald St,COOROY,4563,QLD,Top 500,07 5447 6899,AMCAL CHEMIST,A Grade,4 Weeks,
"3,010",QLD1,4564006,DCO - Pacific Paradise Phy,722,David Low Way,PACIFIC PARADISE,4564,QLD,Top 500,07 5448 9688,DIRECT CHEMIST OUTLET,A Grade,4 Weeks,
"3,002",QLD1,4566002,Livelife Pharmacy- Noosaville,Sh 5 Noosa Village S/C,24 Gibson Rd,NOOSAVILLE,4566,QLD,Top 500,07 5449 9049,Independent,A Grade,4 Weeks,
"3,004",QLD1,4567002,Noosa Heads Phy,Laguna Court,Hastings St,NOOSA HEADS,4567,QLD,Top 500,07 5447 3298,Independent,A Grade,4 Weeks,
"2,664",QLD1,4567004,Livelife Phy - Noosa Fair (Coles S/C),Sh 2 Noosa Fair S/C,Lanyana Way,NOOSA JUNCTION,4567,QLD,Top 500,07 5447 4044,Independent,A Grade,4 Weeks,BRAUER GOLD 14%
"2,621",QLD1,4570004,Fullife Phy Gympie,Goldfield Plaza S/C,Monkland St,GYMPIE,4570,QLD,Top 500,07 5482 9671,Independent,A C Grade,12 Weeks ,
"5,216",QLD1,4570014,Good Price Phy - Gympie,,24 Mary St,GYMPIE,4570,QLD,Top 500,07 5482 1274,GOOD PRICE PHY,A C Grade,12 Weeks ,
"2,462",QLD1,4573001,Livelife Phy 2 - Coolum Village (Coles),,Birtwill St ,COOLUM BEACH,4573,QLD,Top 500,07 5446 2111,Independent,A Grade,4 Weeks,BRAUER BRONZE 7%
"5,595",QLD1,4573008,Peregian Springs Livelife Phy,Sh 7 Peregian Springs S/C,1 Havana Rd West,PEREGIAN SPRINGS,4573,QLD,Top 500,07 5471 2011,Independent,A Grade,4 Weeks,BRAUER GOLD 14%
"2,820",QLD1,4575004,Terry White Chemist - 1  K/Waters 362,Sh 362 - 364  Kawana Waters S/C,Nicklin Way,KAWANA WATERS,4575,QLD,Top 500,07 54442211,TERRY WHITE CHEMIST,A Grade,4 Weeks,
"6,165",QLD1,4610005,Good Price - Kingaroy,Shop 2 Harvey Norman Ctr,18-20 Rogers Drive,Kingaroy,4610,QLD,Top 500,07 4162 7780,GOOD PRICE PHY,A C Grade,12 Weeks ,
"2,854",QLD1,4650010,Priceline Phy - Station Square Pharmacy,Sh 27 Station Square S/C,142 Lennox St,MARYBOROUGH,4650,QLD,Top 500,07 4121 2317,PRICELINE OP IN,A C Grade,12 Weeks ,
"3,244",QLD1,4650014,Good Price Phy - Maryborough,,227 Adelaide St,MARYBOROUGH,4650,QLD,Top 500,07 4121 3184,GOOD PRICE PHY,A C Grade,12 Weeks ,
"3,193",QLD1,4655003,Friendllies Chemist - Hervey Bay,,35 Torquay Rd,HERVEY BAY,4655,QLD,Top 500,07 4128 3899,FRIENDLIES CHEMIST,A C Grade,12 Weeks ,
"3,138",QLD1,4670014,Blooms The Chemist - Bundaberg,Sugarland S/C,Takalvan St,BUNDABERG,4670,QLD,Top 500,07 4152 5088,BLOOMS THE CHEMIST,A C Grade,12 Weeks ,
"2,747",QLD1,4701008,Malouf Group Phy - North Rockhampton ,Northside Plaza S/C,222-228 Musgrave St,ROCKHAMPTON,4701,QLD,Top 500,07 4927 5633,MALOUF GROUP PHY,A C Grade,12 Weeks ,
"2,857",QLD1,4701009,Terry White Stocklands - North Rockhampton,Sh 91B Stocklands S/C,Cnr Yaamba Rd & Bruce Hwy,NORTH ROCKHAMPTON,4701,QLD,Top 500,07 4928 0800,TERRY WHITE CHEMIST,A C Grade,12 Weeks ,
"2,611",QLD1,4703006,Yeppoon Day&Night Phy,,4 James St,YEPPOON,4703,QLD,Top 500,07 4939 1408,Independent,A C Grade,12 Weeks ,
"3,424",QLD1,,Health Shop - Morayfield,Sh 99 Morayfield S/C,Morayfeild Rd,MORAYFIELD,4506,QLD,Top 500,07 5498 3384,Independent,A Grade,4 Weeks,BRAUER SILVER 10%
"3,476",QLD1,,Bundaberg Health Food,,51E Woongarra St,BUNDABERG,4670,QLD,Top 500,07 4151 5187,Independent,A C Grade,12 Weeks ,
"6,937",QLD1,,Go Vita - Toombul,Sh 6 Centro Toombul,Sandgate Road,TOOMBUL,4012,QLD,Top 500,07 3256-6397,GO VITA,A Grade,4 Weeks,BRAUER GOLD 14%
"2,572",QLD2,2460002,Blooms The Chemist - Grafton,Shop 24 Grafton S/C,Fitzroy St,GRAFTON,2460,QLD,Top 500,02 6643 1241,BLOOMS THE CHEMIST,A C Grade,12 Weeks ,
"5,824",QLD2,2460025,Good Price Phy - Grafton,,63 Prince St,GRAFTON,2460,QLD,Top 500,02 6642 1167,GOOD PRICE PHY,A C Grade,12 Weeks ,
"2,776",QLD2,2470005,Soul Pattinson Chemist - Scrivener & Webb,,89 Walker St,CASINO,2470,QLD,Top 500,02 6662 1202,SOUL PATTINSON,A C Grade,12 Weeks ,BRAUER GOLD 14%
"2,571",QLD2,2478001,Blooms The Chemist - Ballina,Sh 68 Ballina Fair,Cnr Kerr & Fox St,BALLINA,2478,QLD,Top 500,02 6686 9202,BLOOMS THE CHEMIST,A C Grade,12 Weeks ,
"5,314",QLD2,2478014,Chemmart Superstore Ballina,,102 _ 110 River Street,BALLINA,2478,QLD,Top 500,02 6686 8800,CHEMMART MASTER,A C Grade,12 Weeks ,
